"Flight Date","Status","Airline","Flight No","Departure Airport","Departure Time","Arrival Airport","Arrival Time"
"2025-07-04","scheduled","TAROM","RO167","Henri Coanda International","2025-07-04T00:50:00+00:00","Beirut Rafic Hariri Airport","2025-07-04T03:05:00+00:00"
"2025-07-04","scheduled","Middle East Airlines","ME4167","Henri Coanda International","2025-07-04T00:50:00+00:00","Beirut Rafic Hariri Airport","2025-07-04T03:05:00+00:00"
"2025-07-04","scheduled","TAROM","RO187","Henri Coanda International","2025-07-04T00:45:00+00:00","Queen Alia International","2025-07-04T03:25:00+00:00"
"2025-07-04","scheduled","TAROM","RO101","Henri Coanda International","2025-07-04T00:45:00+00:00","Cairo International Airport","2025-07-04T03:30:00+00:00"
"2025-07-04","scheduled","El Al","LY572","Henri Coanda International","2025-07-04T00:25:00+00:00","Ben Gurion International","2025-07-04T02:43:00+00:00"
"2025-07-04","scheduled","ANA","NH5972","Bangalore International Airport","2025-07-04T00:30:00+00:00","Suvarnabhumi International","2025-07-04T05:55:00+00:00"
"2025-07-04","scheduled","Japan Airlines","JL33","Haneda Airport","2025-07-04T01:30:00+00:00","Suvarnabhumi International","2025-07-04T05:50:00+00:00"
"2025-07-04","scheduled","K-Mile Air","8K801","Singapore Changi","2025-07-04T03:40:00+00:00","Suvarnabhumi International","2025-07-04T05:10:00+00:00"
"2025-07-04","scheduled","K-Mile Air","8K202","Shenzhen","2025-07-04T03:25:00+00:00","Suvarnabhumi International","2025-07-04T05:05:00+00:00"
"2025-07-04","scheduled","North-Western Cargo International Airlines","CO9621","Shuangliu","2025-07-04T02:15:00+00:00","Suvarnabhumi International","2025-07-04T04:45:00+00:00"
"2025-07-04","scheduled","JDL Airlines","JG2991","Shuangliu","2025-07-04T02:15:00+00:00","Suvarnabhumi International","2025-07-04T04:25:00+00:00"
"2025-07-04","landed","JDL Airlines","JG2977","Shenzhen","2025-07-04T02:20:00+00:00","Suvarnabhumi International","2025-07-04T04:20:00+00:00"
"2025-07-04","scheduled","China Eastern Airlines","MU8653","Shanghai Pudong International","2025-07-04T00:15:00+00:00","Suvarnabhumi International","2025-07-04T04:05:00+00:00"
"2025-07-04","scheduled","None","X16212","Hasanudin","2025-07-04T02:25:00+00:00","Mopah","2025-07-04T07:00:00+00:00"
"2025-07-04","scheduled","Qatar Airways","QR834","Doha International","2025-07-04T02:05:00+00:00","Suvarnabhumi International","2025-07-04T12:55:00+00:00"
"2025-07-04","scheduled","Qatar Airways","QR93","Doha International","2025-07-04T02:05:00+00:00","Zurich","2025-07-04T07:15:00+00:00"
"2025-07-04","scheduled","Qatar Airways","QR1369","Doha International","2025-07-04T02:05:00+00:00","Cape Town International","2025-07-04T10:50:00+00:00"
"2025-07-04","scheduled","Qatar Airways","QR381","Doha International","2025-07-04T02:05:00+00:00","Malta International","2025-07-04T06:45:00+00:00"
"2025-07-04","scheduled","Qatar Airways","QR237","Doha International","2025-07-04T02:05:00+00:00","Istanbul Airport","2025-07-04T06:20:00+00:00"
"2025-07-04","scheduled","Qatar Airways","QR1342","Doha International","2025-07-04T02:00:00+00:00","Chhatrapati Shivaji International (Sahar International)","2025-07-04T08:05:00+00:00"
